"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Matt Kemp","Dodgers","668","7.9 %","25.4 %","0.31",".249",".310",".450",".760",".201","5.5",".295","1.8","-0.4","-2.7","81","4.0",".329","106","5631"
"Melvin Upton Jr.","Rays","610","11.0 %","26.9 %","0.41",".237",".322",".424",".745",".187","7.5",".304","3.4","0.4","4.4","74","3.6",".328","107","5015"
"Jason Kubel","Twins","582","9.6 %","19.9 %","0.48",".249",".323",".427",".750",".178","2.5",".280","-6.2","-0.6","-0.8","70","3.0",".327","101","2161"
"Jose Reyes","Mets","603","5.1 %","10.4 %","0.49",".282",".321",".428",".749",".146","7.6",".301","1.2","0.1","1.5","71","2.2",".325","102","1736"
"Carlos Pena","Rays","582","14.9 %","27.1 %","0.55",".196",".325",".407",".732",".211","2.7",".222","-1.5","2.8","0.2","69","2.0",".325","105","934"
"Alexei Ramirez","White Sox","626","4.3 %","13.1 %","0.33",".282",".313",".431",".744",".149","4.7",".300","4.5","0.5","-1.1","74","1.7",".324","95","5133"
"Juan Uribe","Giants","575","7.8 %","16.0 %","0.49",".248",".310",".440",".749",".192","2.3",".256","-0.4","-2.1","-1.0","67","1.4",".324","102","454"
"Cody Ross","- - -","569","6.5 %","21.3 %","0.31",".269",".322",".413",".735",".145","4.9",".324","1.2","0.9","0.6","66","0.6",".322","96","1760"
"Placido Polanco","Phillies","602","5.3 %","7.8 %","0.68",".298",".339",".386",".726",".088","4.4",".312","1.5","0.0","0.5","70","0.5",".322","96","1176"
"Aramis Ramirez","Cubs","507","6.7 %","17.8 %","0.38",".241",".294",".452",".745",".211","1.9",".245","-6.0","0.3","-0.3","59","0.3",".322","94","1002"
"Scott Podsednik","- - -","595","6.7 %","13.9 %","0.48",".297",".342",".382",".724",".085","6.2",".338","3.0","-0.3","0.4","69","0.4",".322","99","1095"
"Brennan Boesch","Tigers","512","7.8 %","19.3 %","0.40",".256",".320",".416",".736",".159","4.5",".297","-1.2","2.0","0.6","59","0.3",".322","96","914"
"Jose Guillen","- - -","577","5.5 %","19.6 %","0.28",".258",".314",".416",".730",".158","2.5",".291","-6.2","-2.2","-0.2","67","0.2",".322","98","57"
"Marco Scutaro","Red Sox","695","7.6 %","10.2 %","0.75",".275",".333",".388",".721",".112","3.0",".295","1.6","0.1","-1.2","80","0.1",".321","93","1555"
"Casey Blake","Dodgers","571","8.4 %","24.2 %","0.35",".248",".320",".407",".727",".159","2.1",".305","2.3","1.4","-2.0","66","0.0",".321","101","719"
"Alex Gonzalez","- - -","640","4.8 %","18.4 %","0.26",".250",".294",".447",".741",".197","3.0",".275","-0.7","-0.6","-1.0","73","-0.1",".321","96","520"
"Orlando Hudson","Twins","559","8.9 %","15.6 %","0.57",".268",".338",".372",".710",".105","5.8",".312","2.0","-0.1","0.3","63","-0.9",".319","96","1307"
"Ty Wigginton","Orioles","649","7.7 %","17.9 %","0.43",".248",".312",".415",".727",".167","1.4",".270","-1.3","-2.6","-0.9","73","-1.5",".318","93","1491"
