"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Dioner Navarro","Blue Jays","139","520","12","40","69","3","6.2 %","14.6 %",".121",".301",".274",".317",".395",".315","99","-3.6","-3.9","6.0","2.1","3179"
"David Freese","Angels","134","511","10","53","55","1","7.4 %","24.3 %",".123",".330",".260",".321",".383",".314","105","-2.1","0.7","1.2","2.0","9549"
"Kurt Suzuki","Twins","131","503","3","37","61","0","6.8 %","9.1 %",".095",".310",".288",".345",".383",".324","106","-5.6","-2.3","4.2","2.0","8259"
"Chris Carter","Astros","145","572","37","68","88","5","9.8 %","31.8 %",".264",".267",".227",".308",".491",".346","125","-0.4","15.2","-15.5","2.0","9911"
"Jed Lowrie","Athletics","136","566","6","59","50","0","9.0 %","14.0 %",".106",".281",".249",".321",".355",".300","95","-2.9","-6.3","6.0","2.0","4418"
"Jordy Mercer","Pirates","149","555","12","56","55","4","6.3 %","16.0 %",".132",".285",".255",".305",".387",".299","91","0.0","-5.3","6.8","2.0","6547"
"Charlie Blackmon","Rockies","154","648","19","82","72","28","4.8 %","14.8 %",".152",".315",".288",".335",".440",".339","99","3.7","3.0","-4.4","2.0","7859"
"Andrelton Simmons","Braves","146","576","7","44","46","4","5.6 %","10.4 %",".087",".263",".244",".286",".331",".273","71","-3.1","-21.8","22.1","1.9","10847"
"Aramis Ramirez","Brewers","133","531","15","47","66","3","4.0 %","14.1 %",".142",".310",".285",".330",".427",".334","109","-5.9","-0.4","1.3","1.8","1002"
"Lonnie Chisenhall","Indians","142","533","13","62","59","3","7.3 %","18.6 %",".146",".328",".280",".343",".427",".340","117","0.4","10.4","-11.1","1.8","7571"
